openness,conscientiousness,agreeableness,extraversion,neuroticism,descriptive,normative,ca1,ca2,ca3,ca4,ca5,ca6,ca7,ca8,ca_average,c/a,ao1,ao2,ao3,ao4,ao5,ao6,ao7,ao8,ao_average,a/o,oc1,oc2,oc3,oc4,oc5,oc6,oc7,oc8,oc_average,o/c,en1,en2,en3,en4,en5,en6,en7,en8,en_average,e/n,dn1,dn2,dn3,dn4,dn5,dn6,dn7,dn8,dn_average,d/n,age,extentfeminine,extentconservative,extenthumanities,extentcapitalism,gender,svo
889,599,512,510,290,540,160,0,15,95,55,12,0,0,88,33,1.17,23,0,100,89,31,84,50,76,57,0.576,50,0,75,10,0,4,25,0,21,1.484,92,0,87,0,11,5,95,0,36,1.759,15,0,26,26,10,0,0,83,20,3.38,17,11,36,74,50,1,23.839
555,660,485,607,93,419,181,0,0,100,0,2,29,0,77,26,1.361,28,0,100,100,0,0,29,24,35,0.874,48,24,0,47,0,0,56,22,25,0.841,66,0,17,0,1,0,0,9,12,6.527,0,0,0,96,22,1,0,62,23,2.31,16,0,66,74,95,1,-16.26
925,476,799,364,336,498,302,0,90,81,84,29,100,0,100,61,0.596,79,25,0,2,100,86,0,93,48,0.864,100,30,0,0,0,0,0,30,20,1.943,100,50,24,23,0,100,35,4,42,1.083,0,79,23,100,100,0,0,0,38,1.65,16,100,14,24,30,0,32.158
739,866,795,348,452,503,297,37,37,100,55,11,7,41,62,44,1.089,25,37,37,96,7,75,3,75,44,1.076,70,72,42,17,10,79,76,50,52,0.853,90,71,13,28,74,77,72,27,57,0.77,0,84,50,17,26,16,22,82,37,1.69,16,87,27,87,60,0,45.892
878,740,782,377,423,450,350,29,70,100,27,96,25,30,0,47,0.946,15,5,15,71,92,67,30,100,49,0.891,0,78,21,16,15,83,54,50,40,1.186,99,98,75,20,0,91,27,13,53,0.891,57,94,50,0,85,38,26,0,44,1.29,17,100,0,75,16,0,27.884
881,602,917,578,222,572,228,38,34,82,62,84,33,56,80,59,0.656,29,31,27,37,66,66,26,70,44,1.041,36,69,25,27,10,58,19,27,34,1.463,32,29,8,0,0,94,25,34,28,2.604,18,58,28,11,38,25,16,34,29,2.51,17,0,39,87,63,1,37.482
950,617,833,292,508,540,260,50,50,87,88,50,68,41,90,66,0.741,41,90,48,83,50,87,16,76,61,0.877,50,57,46,20,13,65,50,40,43,1.54,50,100,8,87,87,41,89,46,64,0.575,10,17,54,64,50,23,39,3,33,2.08,17,73,16,37,50,0,22.494
1057,612,731,613,187,325,475,26,62,100,53,38,11,37,47,47,0.837,75,42,62,11,63,75,26,89,55,0.692,25,74,0,0,25,12,25,25,23,1.727,13,26,87,0,11,25,25,0,23,3.278,100,100,48,100,12,24,39,52,59,0.68,17,100,14,81,44,0,45
908,605,887,425,375,311,489,50,7,100,54,99,74,15,95,62,0.682,71,44,100,0,0,92,0,100,51,0.977,0,86,50,3,3,25,84,48,37,1.501,36,100,22,31,49,33,100,4,47,1.133,74,92,62,8,46,27,80,100,61,0.64,17,100,8,91,20,0,53.366
843,503,1054,504,296,527,273,53,74,89,55,94,76,23,59,65,0.477,61,12,45,55,7,40,4,45,34,1.25,22,62,10,21,7,74,9,21,28,1.676,88,19,18,40,80,11,25,15,37,1.703,0,68,49,7,40,26,74,9,34,1.93,17,83,75,42,74,0,35.51
554,807,1039,497,303,567,233,50,85,100,40,2,17,73,78,56,0.777,5,5,26,50,22,23,25,50,26,1.875,26,73,76,45,19,83,80,50,57,0.686,5,64,50,94,26,0,26,38,38,1.64,50,14,16,26,27,14,28,58,29,2.43,24,83,50,68,74,0,37.482
886,608,906,579,221,386,414,68,26,94,74,27,92,40,81,63,0.671,50,50,74,0,26,84,25,87,50,1.023,16,64,73,15,18,43,50,31,39,1.457,12,50,13,51,50,13,14,18,28,2.62,74,90,50,74,15,74,37,0,52,0.93,17,76,27,73,26,0,60.67
747,720,933,391,409,467,333,40,70,93,37,71,26,35,56,54,0.772,31,32,33,26,24,78,35,36,37,1.249,13,77,83,22,9,76,25,43,44,1.038,80,77,0,87,40,24,77,24,51,0.956,26,95,63,68,30,18,1,32,42,1.4,17,99,25,16,33,0,37.482
874,765,761,440,360,648,152,50,1,75,70,100,6,25,50,47,1.005,50,24,74,23,3,98,70,74,52,0.871,22,50,25,5,32,96,72,40,43,1.142,50,7,1,37,100,25,74,66,45,1.222,2,2,50,22,26,25,0,25,19,4.26,17,99,24,50,24,0,27.132
1084,677,639,364,436,350,450,73,26,6,38,84,26,38,67,45,1.059,82,33,62,90,61,79,86,26,65,0.589,17,63,0,21,16,87,14,17,29,1.601,85,10,39,76,88,18,83,37,55,0.835,84,91,36,17,34,13,100,75,56,0.78,17,73,26,100,33,0,37.482
930,671,799,506,294,645,155,31,0,86,43,14,15,65,84,42,0.84,85,11,25,89,0,71,29,29,42,0.859,8,34,16,27,12,89,9,14,26,1.386,10,79,26,8,84,12,75,0,37,1.721,12,8,93,0,19,12,0,11,19,4.16,17,0,64,13,68,1,37.482
973,434,993,321,479,497,303,54,43,100,91,84,42,90,50,69,0.437,100,2,58,5,21,85,10,80,45,1.021,0,68,0,4,19,74,16,7,24,2.242,93,60,98,10,65,88,31,34,60,0.67,2,100,20,17,38,32,0,94,38,1.64,17,100,0,23,26,0,36.444
894,651,855,502,298,336,464,50,50,71,50,50,50,47,94,58,0.761,47,50,50,44,50,50,50,66,51,0.956,50,50,50,0,17,44,55,47,39,1.373,25,50,50,50,51,18,42,12,37,1.685,52,100,50,50,50,42,45,75,58,0.72,17,87,28,63,70,0,37.482
913,749,738,401,399,571,229,25,19,81,75,89,17,8,24,42,1.015,86,19,48,86,19,81,23,38,50,0.808,24,21,67,27,16,80,31,21,36,1.219,91,82,0,76,42,75,9,24,50,1.005,18,75,0,30,15,17,48,26,29,2.49,16,4,73,98,94,1,7.815
928,715,757,468,332,443,357,50,0,0,74,27,28,50,50,35,0.945,100,0,72,0,0,50,50,50,40,0.816,26,74,0,0,27,50,17,0,24,1.298,72,100,50,27,29,27,0,27,42,1.41,100,100,50,26,27,26,0,28,45,1.24,17,0,50,0,100,1,32.158
1062,596,742,547,253,378,422,32,82,84,72,84,2,86,11,57,0.803,95,15,67,72,89,82,17,74,64,0.699,16,4,12,5,4,86,95,27,31,1.782,8,97,3,12,12,15,90,16,32,2.162,86,100,50,15,66,84,5,16,53,0.9,16,100,4,38,59,0,37.482
1048,608,744,219,581,396,404,50,12,99,32,99,4,80,85,58,0.817,100,96,79,96,4,82,10,50,65,0.71,80,10,23,99,1,10,19,27,34,1.724,93,94,86,82,78,94,50,4,73,0.377,24,1,6,96,18,86,75,98,51,0.98,18,37,32,85,64,0,45
703,740,957,531,269,317,483,66,0,96,88,22,21,42,100,54,0.773,37,0,74,24,0,78,8,57,35,1.361,86,91,72,27,13,5,27,54,47,0.95,53,0,74,0,9,5,96,32,34,1.974,30,44,50,100,27,87,95,50,60,0.66,17,0,25,75,73,1,45.892
967,643,790,188,612,262,538,38,76,100,25,50,78,29,25,53,0.814,92,63,32,74,42,90,8,30,54,0.817,56,63,25,19,0,90,11,0,33,1.504,89,37,100,74,90,86,65,71,77,0.307,62,88,74,87,86,15,50,76,67,0.49,16,100,7,100,14,0,25.423
975,599,826,425,375,624,176,50,75,0,75,75,26,26,100,53,0.725,0,25,100,0,76,100,0,100,50,0.847,75,76,0,0,0,0,25,50,28,1.628,0,100,50,0,100,25,100,0,47,1.133,0,50,76,0,25,25,0,0,22,3.55,17,25,26,76,50,1,37.482
892,700,808,350,450,533,267,53,91,12,96,34,37,81,80,61,0.866,84,72,86,12,42,81,19,80,60,0.906,83,96,22,66,5,95,0,17,48,1.274,90,100,29,3,92,42,80,14,56,0.778,0,71,24,6,66,11,11,78,33,2,16,17,0,51,0,1,61.39
945,771,684,541,259,543,257,26,11,100,33,21,44,36,50,40,1.127,60,84,89,65,19,44,26,50,55,0.724,16,48,0,16,18,60,89,45,37,1.226,19,38,14,33,23,26,74,32,32,2.089,21,39,50,14,26,21,11,75,32,2.11,17,51,22,7,72,0,30.429
977,863,560,338,562,407,293,50,41,80,45,27,24,27,95,49,1.541,91,64,83,92,40,86,39,73,71,0.573,89,19,75,22,39,75,44,50,52,1.132,97,43,72,50,41,97,62,50,64,0.601,46,89,50,40,19,3,50,46,43,1.39,16,100,26,87,74,0,7.815
686,928,786,552,248,477,323,52,44,25,44,25,14,28,36,34,1.181,13,45,44,8,24,47,26,75,35,1.146,27,39,24,73,73,25,76,59,50,0.739,25,76,26,38,9,24,26,24,31,2.226,47,25,74,38,26,24,26,63,40,1.48,17,12,62,14,36,1,4.556
